id,id_project,id_manager,name,status,id_assign,comment,start_date,end_date
sdw21,123sa,asd23,Task 1,DONE,sd25w,well done!,2023/12/10,2023/12/12
wsd20,123sa,asd23,Task 3,TODO,,,2023/12/11,2023/12/14
ipYi7,OlDHv,abcde,Task moi,TODO,,,2024/1/1,2024/2/3
hhH6m,OlDHv,abcde,Cong viec 1,PROCESS,123ml,,2024/1/1,2024/2/3
9ChM9,OlDHv,abcde,Task_123,DONE,123ml,Sample comment,2024/1/1,2024/2/3
YcfuA,123sa,asd23,Task 2,TODO,sd25w,Yoroshiku,2024-01-11,2024-01-13
c5fhL,123sa,asd23,Task 3,TODO,sd25w,Yoroshiku,2024-01-11,2024-01-13
uJie2,123sa,asd23,task 666,TODO,123ml,Lam di nhe,2024-01-10,2024-01-11
j9btz,2frwa,abcde,asdawdas,TODO,asd23,awdsadsa,2024-01-11,2024-01-11
IE00I,2frwa,abcde,sdasdw,TODO,asd23,adwda,2024-01-11,2024-01-11
BgAY2,2frwa,abcde,test task,TODO,sd25w,hello,2024-01-10,2024-01-11
LuUnU,2frwa,abcde,test task 2,TODO,asd23,,2024-01-10,2024-01-11
L6XfI,2frwa,abcde,asdaw,TODO,asd23,,2024-01-09,2024-01-11
